construct,mean_probability_pct,std_probability_pct
differentiation_from_meat,41.39676332829626,31.687217519446403
perceived_processing,29.272939728495356,31.008489857598548
naturalness_perceptions,30.72208092206989,35.54937598809382
taste_expectations,11.848986417488613,19.184412809511215
sustainability_differentiation,27.5435317754206,31.55546921393528
anchoring_to_meat,1.093157758349832,3.436360662891738
perceived_loss_switching,23.79645041942055,25.2344109143665
trust_and_credibility,15.118620876786942,21.927719838707663
uncertainty_and_risk,53.08902953848161,38.28066351838431
social_acceptance,11.155306998114064,14.417377953933377
